Cannot save titles,Cannot save titles,,
Some Message,Some Message,,
Something went wrong,Something went wrong,,
Could not save,Could not save,,
No such entity,No such entity,,
Excl. Tax,Excl. GST,,
Note:,Note:,,
Leave this field empty if you wish to use the tax identifier.,Leave this field empty if you wish to use the GST identifier.,,
An error occurred,An error occurred,,
Do you really want to delete this tax rate?,Do you really want to delete this GST rate?,,
Save,Save,,
Add New Class,Add New Class,,
Grand Total Excl. Tax,Grand Total Excl. GST,,
Grand Total Incl. Tax,Grand Total Incl. GST,,
Taxes,GST,,
Tax Section,GST Section,,
Tax Classes,GST Classes,,
Tax Class for Shipping,GST Class for Shipping,,
Default Tax Class for Product,Default GST Class for Product,,
Default Tax Class for Customer,Default GST Class for Customer,,
Calculation Settings,Calculation Settings,,
Tax Calculation Method Based On,GST Calculation Method Based On,,
Tax Calculation Based On,GST Calculation Based On,,
Catalog Prices,Catalog Prices,,
This sets whether catalog prices entered from Magento Admin include tax.,This sets whether catalog prices entered from Magento Admin include GST.,,
Shipping Prices,Shipping Prices,,
This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax.,This sets whether shipping amounts entered from Magento Admin or obtained from gateways include GST.,,
Apply Customer Tax,Apply Customer GST,,
Apply Discount On Prices,Apply Discount On Prices,,
"Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected.","Apply discount on price including GST is calculated based on store GST if ""Apply GST after Discount"" is selected.",,
Apply Tax On,Apply GST On,,
Enable Cross Border Trade,Enable Cross Border Trade,,
"When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate.","When catalog price includes GST, enable this setting to fix the price no matter what the customer's GST rate.",,
Default Tax Destination Calculation,Default GST Destination Calculation,,
Default Country,Default Country,,
Default State,Default State,,
Default Post Code,Default Post Code,,
Price Display Settings,Price Display Settings,,
Display Product Prices In Catalog,Display Product Prices In Catalog,,
Display Shipping Prices,Display Shipping Prices,,
Shopping Cart Display Settings,Shopping Cart Display Settings,,
Display Prices,Display Prices,,
Display Subtotal,Display Subtotal,,
Display Shipping Amount,Display Shipping Amount,,
Include Tax In Order Total,Include GST In Order Total,,
Display Full Tax Summary,Display Full GST Summary,,
Display Zero Tax Subtotal,Display Zero GST Subtotal,,
"Orders, Invoices, Credit Memos Display Settings","Orders, Invoices, Credit Memos Display Settings",,
State/Region,State/Region,,
Rate,Rate,,
Subtotal Only,Subtotal Only,,
(Excl. Tax),(Excl. GST),,
(Incl. Tax),(Incl. GST),,
Order Total Excl. Tax,Order Total Excl. GST,,
Order Total Incl. Tax,Order Total Incl. GST,,
Order Total,Order Total,,
Your credit card will be charged for,Your credit card will be charged for,,
